percentDNA,percentReads
0.01568403,0.01459854
0.027624134,0.002936795
0.044198615,0.053316696
0.048217436,0.068503183
0.050420012,0.028631943
0.05194794,0.002500654
0.082250904,0.061009093
0.090908894,0.129610943
0.098552581,0.270306293
0.155461705,0.117118083
0.17679446,0.102977072
0.251081708,0.178301979
0.277310068,0.405064557
0.342539266,0.385892049
0.344410256,0.253569501
0.408837189,0.44746456
0.445163588,0.399019274
0.493140381,0.393022482
0.516805127,0.43796596
0.52380839,0.62171007
0.554841573,0.539634003
